en	ron
person (homo)	naáf, maɗafal
people	naf
man (opp. woman)	nárì
"woman (opp.
man)"	nufuy pl. asiŋgí
female	nufuy
male	nárì
friend	jèmàt
friend (male)	jema
friend (fem.)	jam
possessor, owner	naáf á ɗa
liar	naáf á lan
blind	á nzyaw
lame	ákûn, ʃigyák
deaf	ndwîʃ
dumb (mute)	halíŋ
insane	naáf á nyááf
drunk	fîl
lazy	njoŋát
name	súm
pregnancy	gáà túk
pregnant	músá ti gaa túk
menstruation	gúlá à tinda
hunger, famine	hjem
thirst	séfèf
hiccough	hatí’
itch	yiró
tiredness	ʃuál
life	mafós, cérèl
death	mótòt
sleep	yina
dream n.	ambar
laugh	ligát
desire	fûk, gwêl
strength	ŋgaɗá
cleverness	sisjeŋát
fear	kucirat
jealousy	nadôn
lie	lan
doubt	akó wul
shame	ʃiʃó
courage	ŋgaɗá tá kó
truth	awéy
body	yici
skin	ryaw
flesh	liw
head	xáy
skull	xáy
brain	wúf
bone	ŋgíʃaw
face	yirí
forehead	aní, wôní
eye	yirí
ear	kúme
nose	átín
mucus	ʃêm
cheek	agugur, aŋgbakám
mouth	wo
lip	mbunin
tongue	alés
language	alés
tooth	agíraw
molar	ɓukum
jaw	agâltám
chin	gúmèt
beard	ʃaŋ mí gùmèt
hair (head)	ʃáŋ hay
body hair	ʃáŋ
neck	áɗúl
throat	aŋgóròt
nape (of neck)	asáraŋ máɗul
shoulder	ʃakót, fumwel
breast (female)	fóf
chest	àcà
heart	akó
liver	nín
kidney	láùnjàr
belly (external)	túk
"stomach
(internal)"	túk
navel	mutuk
arm	kurú
armpit	ŋgbét á jol
elbow	kukwat
hand	jol
finger	wí jol
claw	agísindáw
fist	kutúm jol
leg	ʃií
foot	àpàs á ʃií
knee	arum
thigh	fôr
shin (bone)	asandaw
heel	tutut á ʃi
back	wí
anus	mùryàt
penis	didís
testicles	ʃuŋgwal
vagina	mbukòl
ribs	ʃímba
lungs	pòʃòʃ
vein	ʃer a jol
sinew	tutút
intestines, guts	yinji
voice	aɗul
milk	fóf
saliva, spittle	yílá
tear	yíla (a yirí)
blood	inzom
urine	njár
excrements	fí’
bone marrow	atífyór
thing	ɗa
smell	andó
dirt, filth	gùk
end	marál
heap	musó’
hole	ɓo
few	vaùt
some	mî
all	ʃàk
many, much	hyáŋ
big, large, great	mban
small	va:t
long (of stick)	lá’
short (of stick)	rweʃ
deep	ɗorol
high	lá’
thin	céŋ
thick (fat)	ró’
new	hwóy
old (opp. new)	hórèl
young	va:t
dirty	má gùk
clean	mâ tón
bitter	mâ tanda
sour	mâ mwés
wet	mâ lo
dry	mâ nze’
hot	mâ hoùr
warm	mâ lamwan
cold	má ɗiùr
good	mâ ton
bad	mâ tâʃ
ugly	mâ tâʃ
right, correct	giga’
heavy	mâ dun
"light (not
heavy)"	mâ dun gwà
sharp	mâ wo’
pointed	mâ sambet
full	mâ kyálàk
hollow	ahoŋgó
hard	ma ŋgaɗá
difficult	má ʃùm
rotten	mâ nyeùr
wide, large	mâ bibaŋ
narrow	má bibaŋ gwa
round	mâ ʃiral
smooth	mâ mu’, mâ
crooked	mâ mahuriʃ
straight	mâ muzár
other	mây káŋ
alone	cyès
who?	mwáù
what?	anáù
with	i gúlát
place	jíl
near	íŋgás
far	gàlàŋ
here	nánì
there	títjêy
when?	táɗí
where?	áùlì
in, at	í
inside	í ɗjen
outside	í ɓoón
side	tí ɓyáw
left side	ɓyáw àkùtyal
right side	àwuùɗjen
in front	í wo
behind	tá ɗiwi
above	ɗifit
under	ɗjen
across	lugwáùt
straight on	muzár
between	í sa
middle	sá
in the middle of	í sa
I	yín
you (thou)	yá
"you (thou)
(fem.)"	yíʃ
he	sí
she	tí
we (incl.)	njá
we (excl.)	nín
you	kú
they	sín
animal	ye'
wild animal	ye’ áa yaw
elephant	dìdàm
hippopotamus	ŋgiʃ (?)
tusk	anzâŋ
"bush-cow
(buffalo)"	kusáy
rhinoceros	maʃom
antelope (gen.)	arít
gazelle (gen.)	tarafyáw
giraffe	marɗuŋ
wart-hog	vyer
baboon	waŋgay
monkey (gen.)	keraŋ
chimpanzee	párám
mongoose	ndúrùm
"squirrel
(ground-)"	ɗíme:r
mouse	guróm
rat (gen.)	guróm
shrew	únzòf
rabbit	awé:r
hare	awé:r
hedgehog	ndiŋkáʃ
porcupine	ŋgût
wild cat sp.	aŋáw (?), tùndúri
leopard	rwàn
lion	kúkùm
hyena	murûm
jackal	kórò’
snake (gen.)	ɗamùlulul
python	nyís
viper	àkumbo
spitting cobra	yírúm
lizard (gen.)	akúmbél
"agama lizard
(red-headed)"	ragbóŋ
crocodile	hàràm
gecko	atáɓúlès
monitor	ákôr
chameleon	akala
crab	ŋgyaráw
frog	azîw
