en,ron,english,pos,domain
person (homo),"naáf, maɗafal",person (homo),NOUN,general
people,naf,people,NOUN,general
man (opp. woman),nárì,man (opp. woman),PROPN,general
"woman (opp.
man)",nufuy pl. asiŋgí,woman (opp. man),NOUN,general
female,nufuy,female,NOUN,general
male,nárì,male,NOUN,general
friend,jèmàt,friend,NOUN,general
friend (male),jema,friend (male),NOUN,general
friend (fem.),jam,friend (fem.),NOUN,general
"possessor, owner",naáf á ɗa,"possessor, owner",PROPN,general
liar,naáf á lan,liar,NOUN,general
blind,á nzyaw,blind,ADJ,general
lame,"ákûn, ʃigyák",lame,ADJ,general
deaf,ndwîʃ,deaf,ADJ,general
dumb (mute),halíŋ,dumb (mute),NOUN,general
insane,naáf á nyááf,insane,ADJ,general
drunk,fîl,drunk,ADJ,general
lazy,njoŋát,lazy,ADJ,general
name,súm,name,NOUN,general
pregnancy,gáà túk,pregnancy,NOUN,general
pregnant,músá ti gaa túk,pregnant,ADJ,general
menstruation,gúlá à tinda,menstruation,NOUN,general
"hunger, famine",hjem,"hunger, famine",NOUN,general
thirst,séfèf,thirst,VERB,general
hiccough,hatí’,hiccough,PROPN,general
itch,yiró,itch,VERB,general
tiredness,ʃuál,tiredness,NOUN,general
life,"mafós, cérèl",life,NOUN,general
death,mótòt,death,NOUN,general
sleep,yina,sleep,NOUN,general
dream n.,ambar,dream n.,NOUN,general
laugh,ligát,laugh,VERB,general
desire,"fûk, gwêl",desire,VERB,general
strength,ŋgaɗá,strength,NOUN,general
cleverness,sisjeŋát,cleverness,ADJ,general
fear,kucirat,fear,VERB,general
jealousy,nadôn,jealousy,NOUN,general
lie,lan,lie,VERB,general
doubt,akó wul,doubt,VERB,general
shame,ʃiʃó,shame,PROPN,general
courage,ŋgaɗá tá kó,courage,NOUN,general
truth,awéy,truth,NOUN,general
body,yici,body,NOUN,general
skin,ryaw,skin,NOUN,general
flesh,liw,flesh,NOUN,general
head,xáy,head,NOUN,general
skull,xáy,skull,NOUN,general
brain,wúf,brain,NOUN,general
bone,ŋgíʃaw,bone,NOUN,general
face,yirí,face,VERB,general
forehead,"aní, wôní",forehead,PROPN,general
eye,yirí,eye,NOUN,general
ear,kúme,ear,X,general
nose,átín,nose,NOUN,general
mucus,ʃêm,mucus,PROPN,general
cheek,"agugur, aŋgbakám",cheek,VERB,general
mouth,wo,mouth,NOUN,general
lip,mbunin,lip,NOUN,general
tongue,alés,tongue,NOUN,general
language,alés,language,NOUN,general
tooth,agíraw,tooth,PROPN,general
molar,ɓukum,molar,PROPN,general
jaw,agâltám,jaw,ADV,general
chin,gúmèt,chin,PROPN,general
beard,ʃaŋ mí gùmèt,beard,PROPN,general
hair (head),ʃáŋ hay,hair (head),NOUN,general
body hair,ʃáŋ,body hair,NOUN,general
neck,áɗúl,neck,NOUN,general
throat,aŋgóròt,throat,NOUN,general
nape (of neck),asáraŋ máɗul,nape (of neck),NOUN,general
shoulder,"ʃakót, fumwel",shoulder,NOUN,general
